Attrition,BusinessTravel,EnvironmentSatisfaction,Gender,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Age_Profile,Age_cat,Gender_cat,JobLevel_cat,BusinessTravel_cat,OverTime_cat,WorkLifeBalance_cat,TrainingTimesLastYear_cat,EnvironmentSatisfaction_cat,JobSatisfaction_cat
1,1,2,0,2,4,5993,1,0,1,6,2,Adult (26-44),Female,Junior,Travel Rarely,Yes,Bad,No Training,Medium,Very High
0,2,3,1,2,2,5130,0,3,3,10,3,Middle-age (45-59),Male,Junior,Travel Frequently,No,Better,5-6,High,Medium
1,1,4,1,1,3,2090,1,3,3,0,2,Adult (26-44),Male,Entry,Travel Rarely,Yes,Better,5-6,Very High,High
0,2,4,0,1,3,2909,1,3,3,8,2,Adult (26-44),Female,Entry,Travel Frequently,Yes,Better,5-6,Very High,High
0,1,1,1,1,2,3468,0,3,3,2,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,5-6,Low,Medium
0,2,4,1,1,4,3068,0,2,2,7,2,Adult (26-44),Male,Entry,Travel Frequently,No,Good,3-4,Very High,Very High
0,1,3,0,1,1,2670,1,3,2,1,3,Middle-age (45-59),Female,Entry,Travel Rarely,Yes,Good,5-6,High,Low
0,1,4,1,1,3,2693,0,2,3,1,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,3-4,Very High,High
0,2,4,1,3,3,9526,0,2,3,9,2,Adult (26-44),Male,Middle,Travel Frequently,No,Better,3-4,Very High,High
0,1,3,1,2,3,5237,0,3,2,7,2,Adult (26-44),Male,Junior,Travel Rarely,No,Good,5-6,High,High
0,1,1,1,1,2,2426,0,5,3,5,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,9-10,Low,Medium
0,1,4,0,2,3,4193,1,3,3,9,2,Adult (26-44),Female,Junior,Travel Rarely,Yes,Better,5-6,Very High,High
0,1,1,1,1,3,2911,0,1,2,5,2,Adult (26-44),Male,Entry,Travel Rarely,No,Good,1-2,Low,High
0,1,2,1,1,4,2661,0,2,3,2,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,3-4,Medium,Very High
1,1,3,1,1,3,2028,1,4,3,4,2,Adult (26-44),Male,Entry,Travel Rarely,Yes,Better,7-8,High,High
0,1,2,0,3,1,9980,0,1,3,10,2,Adult (26-44),Female,Middle,Travel Rarely,No,Better,1-2,Medium,Low
0,1,1,1,1,2,3298,1,5,2,6,2,Adult (26-44),Male,Entry,Travel Rarely,Yes,Good,9-10,Low,Medium
0,3,4,1,1,4,2935,1,2,2,1,1,Young Adult (18-25),Male,Entry,Non-Travel,Yes,Good,3-4,Very High,Very High
0,1,1,0,4,4,15427,0,3,3,25,3,Middle-age (45-59),Female,Senior,Travel Rarely,No,Better,5-6,Low,Very High
